Date Time, Water Level, Sigma, O, F, R, L, Quality ,,,,
1/2/2013 2:24,0.81,0.006,0,0,0,0,v,,,,
1/2/2013 2:30,0.855,0.007,0,0,0,0,v,,,,
1/2/2013 2:36,0.904,0.008,0,0,0,0,v,,,,
1/2/2013 2:42,0.949,0.007,0,0,0,0,v,,,,
1/2/2013 2:48,0.99,0.007,0,0,0,0,v,,,,
1/2/2013 2:54,1.034,0.016,0,0,0,0,v,,,,
1/2/2013 3:00,1.082,0.009,0,0,0,0,v,,,,
1/2/2013 3:06,1.106,0.01,0,0,0,0,v,,,,
1/2/2013 3:12,1.13,0.009,0,0,0,0,v,,,,
1/2/2013 3:18,1.152,0.004,0,0,0,0,v,,,,
1/2/2013 3:24,1.181,0.011,0,0,0,0,v,,,,
1/2/2013 3:30,1.202,0.007,0,0,0,0,v,,,,
1/2/2013 3:36,1.206,0.006,0,0,0,0,v,,,,
1/2/2013 3:42,1.209,0.005,0,0,0,0,v,,,,
1/2/2013 3:48,1.229,0.003,0,0,0,0,v,,,,
1/2/2013 3:54,1.239,0.004,0,0,0,0,v,,,,
1/2/2013 4:00,1.221,0.006,0,0,0,0,v,,,,
1/2/2013 4:06,1.214,0.003,0,0,0,0,v,,,,
1/2/2013 4:12,1.21,0.004,0,0,0,0,v,,,,
1/2/2013 4:18,1.212,0.001,0,0,0,0,v,,,,
1/2/2013 4:24,1.2,0.003,0,0,0,0,v,,,,
1/2/2013 4:30,1.191,0.003,0,0,0,0,v,,,,
1/2/2013 4:36,1.178,0.002,0,0,0,0,v,,,,
1/2/2013 4:42,1.168,0.002,0,0,0,0,v,,,,
1/2/2013 4:48,1.151,0.001,0,0,0,0,v,,,,
1/2/2013 4:54,1.135,0.005,0,0,0,0,v,,,,
1/2/2013 5:00,1.104,0.005,0,0,0,0,v,,,,
1/2/2013 5:06,1.076,0.005,0,0,0,0,v,,,,
1/2/2013 5:12,1.055,0.002,0,0,0,0,v,,,,
1/2/2013 5:18,1.035,0.005,0,0,0,0,v,,,,
1/2/2013 5:24,1.018,0.005,0,0,0,0,v,,,,
1/2/2013 5:30,0.993,0.005,0,0,0,0,v,,,,
1/2/2013 5:36,0.963,0.004,0,0,0,0,v,,,,
1/2/2013 5:42,0.937,0.004,0,0,0,0,v,,,,
1/2/2013 5:48,0.912,0.004,0,0,0,0,v,,,,
1/2/2013 5:54,0.878,0.005,0,0,0,0,v,,,,
